formula_norm,source,n,med,lo,hi,sd,range
Ba2GaSbO6,OQMD,16,0.49600000000000044,0.495,2.557,0.5971338068920008,2.062
Ba2GaTcO6,OQMD,1,0.347,0.347,0.347,,0.0
Ba2GaTeO6,OQMD,1,1.847,1.847,1.847,,0.0
Ba2GdMoO6,MP,1,0.9083000000000001,0.9083000000000001,0.9083000000000001,,0.0
Ba2GdNbO6,AFLOW,2,3.083,3.0204,3.1456,0.08852976900455589,0.12519999999999998
Ba2GdNbO6,JARVIS,1,2.645,2.645,2.645,,0.0
Ba2GdNbO6,MP,2,2.6872,2.664399999999999,2.71,0.032244069222106944,0.04560000000000075
Ba2GdNbO6,OQMD,6,3.172,3.024,3.3099999999999996,0.09093880726437231,0.2859999999999996
Ba2GdRuO6,MP,1,0.14670000000000002,0.14670000000000002,0.14670000000000002,,0.0
Ba2GdRuO6,OQMD,6,0.24950000000000006,0.24899999999999967,0.3780000000000001,0.05250301578639719,0.12900000000000045
Ba2GdSbO6,MP,2,3.4846000000000004,3.4839,3.4853,0.0009899494936612145,0.0013999999999998458
Ba2GdSbO6,OQMD,5,3.945,3.881,4.073,0.07000142855685185,0.19200000000000061
Ba2GdTaO6,MP,2,3.2611999999999997,3.2148,3.307599999999999,0.06561950929411083,0.0927999999999991
Ba2GdTaO6,OQMD,6,3.727,3.542,3.8689999999999998,0.11749326221816593,0.32699999999999996
Ba2GdVO6,OQMD,4,1.8005000000000002,1.794,1.806,0.0056789083458003145,0.01200000000000001
Ba2GeBiO6,OQMD,1,1.856,1.856,1.856,,0.0
Ba2GePbO6,OQMD,5,0.374,0.248,1.234,0.4141330704012902,0.986
Ba2GePdO6,OQMD,2,0.6779999999999999,0.612,0.744,0.09333809511662425,0.132
Ba2GePtO6,OQMD,2,0.9455,0.884,1.007,0.0869741340859453,0.12299999999999989
Ba2GeSbO6,OQMD,1,1.605,1.605,1.605,,0.0
Ba2GeSeO6,OQMD,2,0.6859999999999999,0.625,0.7469999999999999,0.08626702730475871,0.12199999999999989
Ba2GeTeO6,OQMD,4,0.8089999999999995,0.3730000000000002,0.8710000000000004,0.2355228226733027,0.4980000000000002
Ba2GeWO6,OQMD,4,1.2060000000000004,0.8540000000000001,1.3790000000000004,0.2204848823237852,0.5250000000000004
Ba2HfCoO6,OQMD,2,0.492,0.421,0.563,0.1004091629284897,0.14199999999999996
Ba2HfCrO6,OQMD,8,0.4175,0.274,0.996,0.22502852993723776,0.722
Ba2HfGeO6,OQMD,10,3.966,3.175,4.021,0.2515551850213213,0.8460000000000001
Ba2HfMnO6,OQMD,10,1.258,1.236,1.8,0.1720603576268127,0.5640000000000001
Ba2HfNbO6,OQMD,2,0.3535,0.283,0.424,0.09970205614730321,0.14100000000000001
Ba2HfNiO6,OQMD,1,0.704,0.704,0.704,,0.0
Ba2HfNpO6,OQMD,1,2.9990000000000006,2.9990000000000006,2.9990000000000006,,0.0
Ba2HfPbO6,OQMD,10,2.472,1.899,2.705,0.20540986128010286,0.806
Ba2HfPdO6,OQMD,10,1.2445,1.076,1.503,0.12485996600636692,0.4269999999999998
Ba2HfPtO6,OQMD,10,1.695,1.525,2.493,0.2620984759801383,0.968
Ba2HfReO6,OQMD,1,0.684,0.684,0.684,,0.0
Ba2HfSeO6,OQMD,2,2.762,2.735,2.789,0.03818376618407376,0.05400000000000027
Ba2HfSnO6,OQMD,10,4.105,2.868,4.171,0.3982451645796987,1.3030000000000004
Ba2HfTaO6,OQMD,1,0.308,0.308,0.308,,0.0
Ba2HfTcO6,OQMD,9,0.352,0.351999999999999,0.866,0.1712919859317548,0.514000000000001
Ba2HfTeO6,OQMD,10,2.4395,2.148,3.185,0.2636354595944096,1.037
