band_gap,src
0.45929999999999904,MP
2.392,OQMD
0.303799999999999,MP
2.6999999999999997,OQMD
1.6729999999999996,OQMD
4.315,OQMD
2.045,OQMD
2.345,OQMD
1.0583,MP
0.917,OQMD
3.0970000000000004,OQMD
0.13159999999999902,MP
0.827,OQMD
1.2960000000000003,OQMD
0.852,OQMD
0.8310000000000004,OQMD
2.5,OQMD
2.71,OQMD
3.4451,MP
2.27,OQMD
1.5150000000000006,OQMD
1.2644,MP
0.738,OQMD
1.9450000000000003,OQMD
2.467,OQMD
4.148,OQMD
1.492,OQMD
0.747,OQMD
0.5299999999999998,OQMD
2.3909999999999996,OQMD
2.5610000000000004,OQMD
1.4929999999999999,OQMD
1.9545000000000001,MP
2.0800000000000005,OQMD
3.26,OQMD
1.186,MP
1.7919999999999998,OQMD
2.127,OQMD
0.5510000000000002,OQMD
